User,Followers,nFs,All_Followers,nF
dmesquita,"luanfonceca,mayrarabelo,foolOnTheHill,caionovaes,jpedrocm,Jemesson",6,"thiagosans,eltonsfdev,mayrarabelo,githubgirls,DaviTeodoro,kennedyboaretop,darrenjaworski,codesandtags,gnuns,galvezz,StanlyHardy,misamabbas,DenisHsieh,EEmery,TheRyanHickman,jcsastre,fly51fly,chagge,gabriel,del,julianogalgaro,lucasjoao,babyhuzi111,skribled,tcvieira,matheusnunes,Catherinesjkim,lilf,gehazibispo,h9052300,tynbl,diegobdev,Loong1989,jasonhu01,nfultz,seunginah,frkwy,luanfonceca,mdevalk,betodasilva,SatioO,cyslug,PhDP,tferrer1,zwsong,dthboyd,VishalCR7,yiaktan,natashaandrade,Mincana,rfuzi,vigneshv92,harrypotter0,gazzola,Jemesson,cristianounix,clbcabral,crislanio,lenilsonjr,andhremattos,robguinness,havardl,SaboiaEric,drastorguev,igorfarias30,krunal3kapadiya,jakehop,falconsw,AndriiTsok,walkacross,bighenry,lai,wintowanti,jpedrocm,caionovaes,rodrigoaives,e,v,s,ssvmvss,caibing1872,jefersondaniel,juliobguedes,ximet,wstroks,pedrohenriquebrandao,foolOnTheHill,AugustoCam95,kingkastle",85
andersonresende,"luanfonceca,fjsj,chocoelho,vanessa,meiralins,amandasavluchinske",6,"luanfonceca,elizandropacheco,meiralins,SamirSouzaSys,osantana,medeirosthiago,muhammadtaqi,fjsj,matiasinsaurralde,Williano,chocoelho,Milhano,kamranhossain,vanessa,amandasavluchinske,evertocsx,dann95,alessandroHenrique",18
ramon-v,"paulorec,interaminense,victorlaerte,jordanamorais,alexpessoajr,tobiasparaiso",6,"rayana,paulorec,interaminense,alexpessoajr,victorlaerte,jordanamorais,mapmf,nathalyas,eversonverissimo,juniorlopes27,tobiasparaiso,mstraughan86",12
TigerRobocop,"simoneas02,talitaoliveira,interaminense,thiagoarrais,HaysaRodrigues,tecavasconcelos",6,"gisomarjr,paulononaka,lordhasyim,Sifdon,thiagoarrais,di3goleite,simoneas02,PamelaBeatriz,cdfortes,raisiqueira,drcabral,talitaoliveira,interaminense,devsorax,HaysaRodrigues,SEdilson,tecavasconcelos,gabe351",18
rafoli,"interaminense,jordanamorais,HaysaRodrigues,manoelcyreno,izaiasavila,jonatascp",6,"ahmetabdi,igorarouca,dearnani,angusshire,juliotobias,jorgeislas,izaiasavila,HaysaRodrigues,jordanamorais,manoelcyreno,jonatascp,interaminense",12
eduardocruz,"marcelcaraciolo,filipeximenes,fjsj,arthuralvim,patrickrbc,evandroabreu",6,"brunojm,rafaelcaricio,marcelcaraciolo,evandroabreu,marinhomoreira,gmotta,ajeremias,flaviozantut,daylerees,filipeximenes,patrickrbc,diogomedeiros,NandoKstroNet,hugofabricio,magnobiet,Siffert,chrisenytc,arthuralvim,fhferreira,felipe3d,Fuhrmann,ogiansouza,f0ntana,tperrelli,fjsj,gabrielpconceicao,viniciusferreira,angusshire,Shipow,sdmg15,limatheus,nirvanafish,VagrantStory,fparreira,evinw,aamiralahazan,vidalvasconcelos,caueprado0,KevinHock,uira,fridzema,nfultz,itsmeetkumar,heathdutton",44
itsmealves,"diegonvs,cauannelinhares,MauricioLimaJR,paulapithon,renatohlf,albjoaov",6,"renatohlf,diegonvs,galvaoisabella,bmhori,lhcavalcanti,theeam,eunaka,AnnaGabriela,OtacilioN,iagointer,beccinha,MauricioLimaJR,ericksrodrigues,Drakmord2,cauannelinhares,dalinhuang99,camisLuisa,paulapithon,albjoaov,thainapaes,PacificoHijo,FernandoLGL",22
lucascmelo,"luiztiago,henvic,guilhermefarias,deyvisonrocha,WilliamRoger,ivanAndrade",6,"fernandosouza,ivanAndrade,deyvisonrocha,jeffersonromano,guilhermefarias,ruanltbg,gusshmelo,msmosso,henvic,raphaborralho,luiztiago,luizbatista,WilliamRoger",13
leuthier,"thiagoprazeres,wellington16,brunapvasconcelos,MatheusSouza12,joaopaulosama,FilipelIOn",6,"wellington16,thiagoprazeres,brunapvasconcelos,gustavogusmao,Miicchhel,Reddstar,FilipelIOn,flushedlucas,bernardojr123,lemosevele,jorgepauloS,arianalima,joaopaulosama,Matheus,Campos,lisansouza,MatheusSouza12",16
albertmourato,"interaminense,victorlaerte,diegonvs,alexpessoajr,mangueBit,wba25",6,"wba25,LeonardoGaldino,ehammo,igormatos,diegonvs,phcp,victorlaerte,jaredgorski,nandomoreirame,mangueBit,alexpessoajr,interaminense",12
paulolieuthier,"fernandocastor,pcstl,horaciojcfilho,tomersimis,peaonunes,caionovaes",6,"forbidden404,llaryssa,marlonwc3,caionovaes,fulano7,horaciojcfilho,tomersimis,brunnorbc,Liamsi,alketii,fernandocastor,gustavosbarreto,Linux,Player,Darth,Revan,pazspm,mguilhermetavares,pcstl,SHENOISZ,01viniciusmelo,peaonunes,dalinhuang99,acamargovieira,eivindml,shenzhoudance,KevinHock",25
fltiago,"arthuralvim,guiocavalcanti,embs,JoaoGFarias,lipse,aricardoreis",6,"tacsio,aricardoreis,embs,sergiofontes,guiocavalcanti,lipse,rrecio,RobertoBarros,arthuralvim,JoaoGFarias,jnettome,thnery",12
